sampler,regime,scorer,K,metric,n,mean,se,ci_low,ci_high,confidence,low_n,high_n,effect,value_col,runtime_per_candidate_ms,runtime_rows,mean_pairwise_distance,effective_sample_diversity,sampler_role
clean_target_ablation,id,oracle_real_utility_selector,1,exact_selected_real,12,0.2826997690736373,0.011222745928121695,0.2603853509701609,0.3037060241538119,0.95,1,16,high_minus_low,exact_selected_real,0.4641408333352754,60,0.3129458198697487,1.6295401096474356,ablation
clean_target_ablation,id,oracle_real_utility_selector,4,exact_selected_real,12,0.1165541479478522,0.010171556659474792,0.09943867117808024,0.13788033396873692,0.95,1,16,high_minus_low,exact_selected_real,0.6475599999905374,60,0.0911620912844357,1.6307930826709893,ablation
clean_target_ablation,id,oracle_real_utility_selector,16,exact_selected_real,12,0.042446951080954524,0.007875605849155138,0.029157733028411993,0.058899923543524337,0.95,1,16,high_minus_low,exact_selected_real,1.7076113194384057,60,0.02361255670025975,1.6350213387849217,ablation
consistency_1step,id,oracle_real_utility_selector,1,exact_selected_real,12,0.3770010094190685,0.0228048478352115,0.3371528841820992,0.4196449168476351,0.95,1,16,high_minus_low,exact_selected_real,0.4894046527624596,60,0.49926442426369083,1.6175217884254658,primary
ddim_eps,id,oracle_real_utility_selector,1,exact_selected_real,12,0.37622786469213426,0.019693838087505824,0.341426036778016,0.41896453454080274,0.95,1,16,high_minus_low,exact_selected_real,0.5786725694431677,60,0.49815023478858766,1.619071477072716,primary
ddim_eps,id,oracle_real_utility_selector,4,exact_selected_real,12,0.41091627573626505,0.022866439685257655,0.37030896090939824,0.45933952566971975,0.95,1,16,high_minus_low,exact_selected_real,0.7942402083244815,60,0.4974101830827549,1.618891836495712,primary
ddim_eps,id,oracle_real_utility_selector,16,exact_selected_real,12,0.3704579302077862,0.02821105342330134,0.32582486856550397,0.4262770694718832,0.95,1,16,high_minus_low,exact_selected_real,2.0550149305563536,60,0.48685060416375187,1.6192658085705245,primary
ddpm_eps,id,oracle_real_utility_selector,4,exact_selected_real,12,0.41012896073470145,0.023764412631330625,0.36630337972723587,0.46144660669828336,0.95,1,16,high_minus_low,exact_selected_real,0.8417780555545404,60,0.4991214962847907,1.6183204088779333,primary
ddpm_eps,id,oracle_real_utility_selector,16,exact_selected_real,12,0.3813791469042683,0.025880703776277762,0.336270795711421,0.43106793104501673,0.95,1,16,high_minus_low,exact_selected_real,2.41443999998915,60,0.498782741607574,1.618985337932932,primary
